Card #,Card Name,Mana Cost,Type Line,Power/Toughness,Rarity,Color Identity,Rules Text,Flavor Text,Keywords,Mechanics Tags,Art Description,Art Direction,Synergy
537,Mist Token,,Token Creature — Mist,1/1,Token,B,Deathtouch,,Deathtouch,Token,"A creeping tendril of Mashadar — the hungry silver-grey mist of dead Shadar Logoth — coiling through ruined moonlit streets, faintly luminous and lethal.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
538,Aes Sedai Token (Blue),,Token Creature — Aes Sedai,1/1,Token,U,,,,Token,"A young Blue Ajah Aes Sedai in a blue-fringed shawl, weaving glowing threads of the One Power (Air and Water), calm and resolute.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
539,Damane Token,,Token Creature — Damane,1/1,Token,U,,,,Token,"A collared damane in plain grey, the silver a'dam leash trailing away, sorrowful eyes, reluctantly channeling a shimmer of Power.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
540,Aiel Token,,Token Creature — Aiel,1/1,Token,G,,,,Token,"A veiled Aiel warrior of the Three-fold Land in earth-tone cadin'sor, spear and hide buckler ready, hard and lean against red rock.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
541,Wolf Token (1/1),,Token Creature — Wolf,1/1,Token,G,,,,Token,"A lean grey wolf of the Two Rivers, golden eyes gleaming, standing alert at the edge of a misty green forest.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
542,Elemental Token (1/1),,Token Creature — Elemental,1/1,Token,R,Haste,,Haste,Token,"A small darting elemental of living fire and wind woven from Saidin, sparks trailing, kinetic and fast.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
543,Aes Sedai Token (White),,Token Creature — Aes Sedai,1/1,Token,W,,,,Token,"A White Tower Aes Sedai in a white-fringed shawl, serene, a soft aura of the Power around her raised hand.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
544,Soldier Token (1/1),,Token Creature — Soldier,1/1,Token,W,,,,Token,"A young Andoran soldier in the red-and-white of the Queen's Guard, spear and shield, earnest and green.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
545,Whitecloak Soldier Token,,Token Creature — Whitecloak Soldier,1/1,Token,W,,,,Token,"A Child of the Light footman in a snowy-white cloak with the golden sunburst, zealous, marching with a halberd.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
546,Elemental Token (2/1),,Token Creature — Elemental,2/1,Token,R,Haste,,Haste,Token,"A larger churning elemental of fire and lightning, roughly humanoid, molten core, aggressive lunge.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
547,Shadowspawn Token (2/2),,Token Creature — Shadowspawn,2/2,Token,B,,,,Token,"A hulking Shadowspawn beast birthed in the Blight — twisted flesh, too many teeth, malformed and menacing in gloom.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
548,Shadowspawn Token (2/2 Haste),,Token Creature — Shadowspawn,2/2,Token,B,Haste,,Haste,Token,"A charging Shadowspawn horror mid-lunge, sinew and claw, spittle flying, ferocious speed.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
549,Trolloc Token (Haste),,Token Creature — Trolloc,2/2,Token,B,Haste,,Haste,Token,"A charging Trolloc — towering man-beast with a goat's horned head and wolf's snarl, black mail, scythe-sword raised, mid-sprint.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
550,Trolloc Token (Menace),,Token Creature — Trolloc,2/2,Token,B,Menace,,Menace,Token,"A Trolloc with a boar-tusked muzzle and heavy shoulders, spiked club, hulking and intimidating in Blight murk.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
551,Wolf Token (2/2),,Token Creature — Wolf,2/2,Token,G,,,,Token,"A large powerful grey timber wolf, hackles up, teeth bared, powerful in a rain-dark forest.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
552,Dragon Token (2/2),,Token Creature — Dragon,2/2,Token,R,,,,Token,"A small fierce dragon of living flame conjured from Saidin, wings half-spread, red-gold scales, snarling.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
553,Soldier Token (2/2),,Token Creature — Soldier,2/2,Token,W,,,,Token,"A seasoned Andoran soldier in polished plate, red tabard, steady sword and shield, disciplined veteran.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
554,Spirit Hero Token,,Token Creature — Spirit,2/2,Token,W,"Vigilance, Lifelink",,"Vigilance, Lifelink",Token,"A luminous heroes' spirit answering the Horn of Valere — a translucent ancient warrior in ghostly armor, banner of light.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
555,Shadowspawn Token (3/3 Menace),,Token Creature — Shadowspawn,3/3,Token,B,Menace,,Menace,Token,"A massive Shadowspawn brute of the Blight, armored in bone plates, glowing eyes, dominating and terrible.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
556,Dragon Token (3/3 Flying),,Token Creature — Dragon,3/3,Token,R,Flying,,Flying,Token,"A soaring dragon of fire and light above a burning battlefield, wings wide, breathing flame, majestic.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
557,Construct Token (3/3),,Token Creature — Construct,3/3,Token,W,,,,Token,"A guardian construct of white cuendillar and stone, angular and radiant, animate and unbreakable.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
558,Dragonmount,,Token Creature — Elemental,4/4,Token,R,,,,Token,"The living firestorm of Dragonmount — a colossal elemental of magma, ash, and lightning rising from the mountain that marks Lews Therin's death, apocalyptic.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
559,Construct Token (5/5),,Token Artifact Creature — Construct,5/5,Token,,,,,Token,"A towering colorless construct of seamless cuendillar and steel, faceless, immense, an unstoppable made-guardian.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
560,Treasure Token,,Token Artifact — Treasure,,Token,,,,,Token,"A small heap of glittering treasure — Age-of-Legends coins, a jeweled angreal, cut gems spilling from a pouch on dark cloth.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
